1d,7d
35250.7797,36490.6157
35971.0775,37884.8582
36599.5593,37569.625
36699.8452,39567.9985
37003.3387,39933.0764
36940.5702,38605.3244
35842.3793,37762.3424
36112.8382,36779.9542
35943.1567,36108.9084
35710.6925,35151.3369
35988.7761,36955.1434
35402.346,35785.7297
33956.2509,34350.301
33625.415,33421.6548
33816.1691,33940.3909
31526.6562,30213.4644
31514.1728,30539.0226
31634.5204,30445.4356
31779.5539,30571.175
31946.673,30661.7845
32643.4671,31212.8186
35019.8341,33400.2224
38326.6022,35610.8402
42124.2564,39482.0699
42127.6009,39847.4874
42115.4128,40494.0527
42009.5983,40210.318
41789.5273,39978.9221
41992.9761,40847.9722
41881.6271,39933.674
40876.5296,38710.7113
39874.171,37952.4223
39452.2816,37926.3443
38195.8767,37738.1047
