,기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
221582,20220422,18,38406.8997999999,2413.6746,702.795799999999,521.1819,816.5347,1522.95309999999,1816.57469999999,1989.07559999999,2052.76479999999,1987.8973,1513.69679999999,1440.8497,1090.3956,683.903599999999,1249.0134,2018.4661,542.0212,595.629,1170.46499999999,1588.9375,1677.3421,1746.38879999999,1626.9221,1470.65599999999,1232.2573,1265.58459999999,1010.985,770.168499999999,1889.7626
222001,20220422,19,36515.8232999999,2299.4649,669.540899999999,567.1485,812.134099999999,1513.32109999999,1751.9226,1902.93249999999,1871.81999999999,1794.3443,1369.02649999999,1317.8114,984.2242,645.9664,1250.9283,1996.84459999999,536.215199999999,546.1031,1171.5041,1566.39069999999,1508.0514,1629.06829999999,1470.69869999999,1394.313,1179.27839999999,1223.3602,966.120599999999,775.905499999999,1801.384
222412,20220422,20,33611.0414999999,2046.8815,595.9959,534.332499999999,754.2602,1365.9697,1610.198,1718.4483,1763.5165,1666.56919999999,1123.3377,1265.299,943.609699999999,599.2956,1220.2714,1934.2407,519.4044,527.700699999999,1080.1204,1348.7959,1379.2369,1544.21229999999,1285.7913,1256.5579,1046.9852,1103.2752,911.3704,754.8871,1710.477
222851,20220422,21,33240.2001,2215.5696,645.1132,516.022799999999,751.656299999999,1247.4293,1460.80819999999,1726.7274,1754.8819,1647.7943,1081.71579999999,1213.12889999999,910.094699999999,591.047,1168.4935,1909.3371,512.716699999999,503.2825,1100.3004,1263.0907,1349.7625,1535.6956,1303.4724,1204.5876,1088.029,1110.598,953.7029,750.648,1724.4933
223272,20220422,22,33430.2497999999,2248.2709,654.6349,557.4529,725.449499999999,1244.5408,1467.07739999999,1749.6077,1832.5706,1629.3116,1146.9782,1178.7994,925.0439,620.881099999999,1169.8837,1879.1309,504.6057,571.205299999999,1057.4772,1262.069,1320.2336,1535.0399,1292.69609999999,1239.8413,1056.2351,1179.5624,898.7839,759.524,1723.342
223693,20220422,23,33325.8499,2259.219,657.822599999999,627.7947,741.856199999999,1269.0979,1432.2211,1651.36999999999,1794.67239999999,1606.4628,1133.0734,1142.2627,926.2317,610.819399999999,1213.28929999999,1920.8967,515.8209,575.928,972.2921,1129.4274,1355.499,1582.4855,1307.9439,1246.84549999999,999.2558,1106.2926,891.683999999999,775.6698,1879.6157
224114,20220423,0,33231.7137,2190.5086,637.815699999999,613.064899999999,771.9152,1261.8912,1436.87159999999,1661.2212,1778.38529999999,1555.0642,1127.4358,1128.9702,890.3138,626.9488,1206.10459999999,1962.9194,527.1054,586.514,967.655499999999,1147.5862,1381.56369999999,1587.8049,1275.49309999999,1245.29199999999,1028.98209999999,1106.8185,895.901799999999,770.592099999999,1860.9734
224543,20220423,1,33625.2096,2231.8171,649.843799999999,672.2448,819.7749,1274.4791,1479.65069999999,1658.453,1760.46959999999,1501.8561,1110.33549999999,1129.81199999999,914.616099999999,636.8709,1217.8587,2049.1878,550.2712,608.211699999999,1025.3105,1174.59189999999,1384.0487,1583.0063,1252.72129999999,1291.1259,1014.7331,1101.9181,879.054399999999,783.4619,1869.4829
224969,20220423,2,33960.2123999999,2273.0861,661.8604,663.4674,832.6512,1297.6414,1460.7085,1682.4465,1767.6119,1532.4364,1144.1391,1117.2963,921.5374,627.287299999999,1210.5291,2067.9881,555.319899999999,629.3415,1023.1604,1211.7202,1412.8194,1593.4319,1281.53019999999,1286.7873,1032.1792,1122.0162,887.4271,783.185299999999,1880.6068
225408,20220423,3,34090.0696,2262.9878,658.919899999999,706.157199999999,869.027799999999,1309.4202,1469.678,1668.565,1734.2625,1565.1883,1165.2609,1137.371,940.747899999999,629.9968,1205.9422,2056.0742,552.120599999999,653.407299999999,1007.0604,1217.6482,1432.4591,1582.7451,1273.96959999999,1291.2203,1039.3921,1117.3275,884.4116,782.466699999999,1876.2433
